high,average,low,humi,notice,tropical night
30.8,28.4,24.4,22.7,90.6,0
30.9,29.6,25.6,22.4,82.4,0
27,23.3,21.6,19.9,98.3,0
27.5,24.6,21.8,19.8,96.5,0
25.6,23.1,20.7,19.1,93.1,0
26.6,23.5,21.5,19.3,92.8,0
25.7,23.7,20.9,16.9,85.4,0
25.5,23,21.4,18.8,88.4,0
26.5,23.8,21.6,19.2,92.4,0
27.4,25,22.7,20.6,86.1,0
27.3,24,22.5,20.7,92.4,0
27.8,24.5,21.7,21.1,94.8,0
28.3,24.7,22.2,21.2,93.6,0
29,26.7,23.6,21.1,81.1,0
27.5,24,22.5,20.9,88.1,0
29.5,25.8,22.5,21.4,94,0
28.2,24.8,22.7,19.8,86.6,0
28.6,25.8,22.5,20.5,84.3,0
28.8,26.9,24.1,21.4,82,0
27.9,24.6,22.1,20.2,88,0
28.6,25.4,22.3,21.1,88.9,0
32.5,30.4,24.9,21.4,89,0
29.5,26.5,23.2,20.9,85.5,0
31.8,30.1,25.5,22.6,88,0
29.5,26.8,24,21.7,85,0
29.5,25.9,23.9,21.7,88,0
28.8,26,23.4,21.4,86.6,0
28.6,26.2,23.6,21.1,86.4,0
31.2,29.9,26.5,23.6,76.1,0
29.8,28.5,24.6,21,76.1,0
28.9,25.7,23,21,87.4,0
25.9,23.3,21.2,18.2,86.4,0
29.4,27.4,22.9,19.4,86.1,0
28.2,25.7,22.8,19.9,87.6,0
30.9,31,25.3,20.2,67.1,0
31.6,29.9,23.5,20.3,89.4,0
32.3,32,26,20.8,78.3,0
32.7,32.8,26.6,21.2,73.3,0
31.5,30.8,26.3,21,74.8,0
32.3,31.9,27.2,21.5,75.6,0
29.5,28.4,24.6,20.7,75.1,0
31.9,30.8,26,21.2,79.9,0
31.7,31.6,26.8,23.8,74.3,0
31.4,30.1,25.2,21.6,80.4,0
29,25.8,23.6,21,88.5,0
29.7,28,24.6,21.8,84.5,0
25.8,22.5,20.6,19.3,94,0
